semana,fecha,peso,media_semanal,media_mensual
1,17/09/2024,73.20,73.88,73.55
1,18/09/2024,73.50,73.88,73.55
1,19/09/2024,74.00,73.88,73.55
1,20/09/2024,74.60,73.88,73.55
1,21/09/2024,74.10,73.88,73.55
2,24/09/2024,73.00,73.26,73.55
2,25/09/2024,72.80,73.26,73.55
2,26/09/2024,73.30,73.26,73.55
2,28/09/2024,74.10,73.26,73.55
2,29/09/2024,73.10,73.26,73.55
3,30/09/2024,73.30,72.73,73.55
3,01/10/2024,72.70,72.73,73.02
3,02/10/2024,72.70,72.73,73.02
3,03/10/2024,72.80,72.73,73.02
3,04/10/2024,72.90,72.73,73.02
3,05/10/2024,72.30,72.73,73.02
3,06/10/2024,72.40,72.73,73.02
4,07/10/2024,73.50,73.00,73.02
4,08/10/2024,73.30,73.00,73.02
4,09/10/2024,72.70,73.00,73.02
4,10/10/2024,72.80,73.00,73.02
4,11/10/2024,73.00,73.00,73.02
4,12/10/2024,72.70,73.00,73.02
4,13/10/2024,73.00,73.00,73.02
5,14/10/2024,72.70,73.10,73.02
5,15/10/2024,72.40,73.10,73.02
5,16/10/2024,73.40,73.10,73.02
5,17/10/2024,73.40,73.10,73.02
5,19/10/2024,73.60,73.10,73.02
5,20/10/2024,73.10,73.10,73.02
6,21/10/2024,74.00,73.41,73.02
6,22/10/2024,72.70,73.41,73.02
6,23/10/2024,72.60,73.41,73.02
6,24/10/2024,73.30,73.41,73.02
6,25/10/2024,74.10,73.41,73.02
6,26/10/2024,73.40,73.41,73.02
6,27/10/2024,73.80,73.41,73.02
7,28/10/2024,72.50,72.70,73.02
7,29/10/2024,72.70,72.70,73.02
7,30/10/2024,72.90,72.70,73.02
7,31/10/2024,73.10,72.70,73.02
7,02/11/2024,72.50,72.70,73.33
7,03/11/2024,72.50,72.70,73.33
8,04/11/2024,73.10,73.05,73.33
8,05/11/2024,72.80,73.05,73.33
8,07/11/2024,72.80,73.05,73.33
8,08/11/2024,73.60,73.05,73.33
8,09/11/2024,73.40,73.05,73.33
8,10/11/2024,72.60,73.05,73.33
9,11/11/2024,72.10,73.27,73.33
9,12/11/2024,72.20,73.27,73.33
9,13/11/2024,71.90,73.27,73.33
9,14/11/2024,75.10,73.27,73.33
9,15/11/2024,74.10,73.27,73.33
9,16/11/2024,73.00,73.27,73.33
9,17/11/2024,74.50,73.27,73.33
10,18/11/2024,73.40,73.41,73.33
10,19/11/2024,73.00,73.41,73.33
10,20/11/2024,72.90,73.41,73.33
10,21/11/2024,74.70,73.41,73.33
10,22/11/2024,73.80,73.41,73.33
10,23/11/2024,73.00,73.41,73.33
10,24/11/2024,73.10,73.41,73.33
11,25/11/2024,74.20,73.87,73.33
11,26/11/2024,73.50,73.87,73.33
11,27/11/2024,73.20,73.87,73.33
11,28/11/2024,73.70,73.87,73.33
11,29/11/2024,74.10,73.87,73.33
11,30/11/2024,74.40,73.87,73.33
11,01/12/2024,74.00,73.87,74.41
12,02/12/2024,75.20,74.58,74.41
12,03/12/2024,74.40,74.58,74.41
12,04/12/2024,74.80,74.58,74.41
12,06/12/2024,74.50,74.58,74.41
12,07/12/2024,73.80,74.58,74.41
12,08/12/2024,74.80,74.58,74.41
13,09/12/2024,75.40,74.50,74.41
13,10/12/2024,74.40,74.50,74.41
13,11/12/2024,73.90,74.50,74.41
13,12/12/2024,73.80,74.50,74.41
13,13/12/2024,74.70,74.50,74.41
13,14/12/2024,74.20,74.50,74.41
13,15/12/2024,75.10,74.50,74.41
14,16/12/2024,74.30,74.05,74.41
14,17/12/2024,73.90,74.05,74.41
14,18/12/2024,73.70,74.05,74.41
14,19/12/2024,73.60,74.05,74.41
14,20/12/2024,74.60,74.05,74.41
14,21/12/2024,74.20,74.05,74.41
15,23/12/2024,74.40,74.70,74.41
15,24/12/2024,75.10,74.70,74.41
15,25/12/2024,74.50,74.70,74.41
15,26/12/2024,74.80,74.70,74.41
15,27/12/2024,74.10,74.70,74.41
15,28/12/2024,75.60,74.70,74.41
15,29/12/2024,74.40,74.70,74.41
16,30/12/2024,74.50,74.28,74.41
16,31/12/2024,73.10,74.28,74.41
16,02/01/2025,75.00,74.28,75.58
16,03/01/2025,74.10,74.28,75.58
16,04/01/2025,74.30,74.28,75.58
16,05/01/2025,74.70,74.28,75.58
17,07/01/2025,75.60,77.22,75.58
17,08/01/2025,74.30,77.22,75.58
17,09/01/2025,75.70,77.22,75.58
17,09/01/2025,76.50,77.22,75.58
17,10/01/2025,75.00,77.22,75.58
17,10/01/2025,80.40,77.22,75.58
17,11/01/2025,75.90,77.22,75.58
17,12/01/2025,76.00,77.22,75.58
17,12/01/2025,85.55,77.22,75.58
18,13/01/2025,74.90,74.83,75.58
18,14/01/2025,74.70,74.83,75.58
18,15/01/2025,75.20,74.83,75.58
18,16/01/2025,74.60,74.83,75.58
18,17/01/2025,74.50,74.83,75.58
18,18/01/2025,75.10,74.83,75.58
18,19/01/2025,74.80,74.83,75.58
19,20/01/2025,74.10,75.03,75.58
19,21/01/2025,74.80,75.03,75.58
19,22/01/2025,74.80,75.03,75.58
19,23/01/2025,75.20,75.03,75.58
19,24/01/2025,74.90,75.03,75.58
19,25/01/2025,75.20,75.03,75.58
19,26/01/2025,76.20,75.03,75.58
20,27/01/2025,74.80,75.33,75.58
20,28/01/2025,75.20,75.33,75.58
20,29/01/2025,75.00,75.33,75.58
20,30/01/2025,75.70,75.33,75.58
20,31/01/2025,75.80,75.33,75.58
20,01/02/2025,75.40,75.33,76.40
20,02/02/2025,75.40,75.33,76.40
21,03/02/2025,75.70,75.17,76.40
21,04/02/2025,74.60,75.17,76.40
21,05/02/2025,74.00,75.17,76.40
21,06/02/2025,74.40,75.17,76.40
21,07/02/2025,75.10,75.17,76.40
21,08/02/2025,75.00,75.17,76.40
21,09/02/2025,75.70,75.17,76.40
21,09/02/2025,76.85,75.17,76.40
22,10/02/2025,75.50,77.46,76.40
22,11/02/2025,75.00,77.46,76.40
22,11/02/2025,81.30,77.46,76.40
22,12/02/2025,74.90,77.46,76.40
22,12/02/2025,86.65,77.46,76.40
22,13/02/2025,74.90,77.46,76.40
22,14/02/2025,75.70,77.46,76.40
22,15/02/2025,75.70,77.46,76.40
23,17/02/2025,75.80,76.33,76.40
23,18/02/2025,76.10,76.33,76.40
23,19/02/2025,75.90,76.33,76.40
23,20/02/2025,76.00,76.33,76.40
23,21/02/2025,76.20,76.33,76.40
23,22/02/2025,77.00,76.33,76.40
23,23/02/2025,77.30,76.33,76.40
24,24/02/2025,77.20,77.33,76.40
24,25/02/2025,77.10,77.33,76.40
24,26/02/2025,76.80,77.33,76.40
24,27/02/2025,77.60,77.33,76.40
24,28/02/2025,77.10,77.33,76.40
